url,status,title,title_len,meta_desc_len,canonical,h1,robots,og_type,has_jsonld,jsonld_types
"/",200,"Création de Site Internet Hautes-Alpes (Embrun, Gap)",53,155,"https://www.facenordgraphisme.fr","Propulsez votre ","index, follow","website",2,""@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"WebSite"|"
"/prestations",200,"Prestations Web &amp; SEO — Création, Refonte, Maintenance | Hautes-Alpes | Face Nord Graphisme",98,180,"https://www.facenordgraphisme.fr/prestations","Prestations web &amp; SEO","index, follow","",2,""@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"WebSite"|"
"/creation-site-internet-hautes-alpes",200,"Création Site Internet Hautes-Alpes | Face Nord Graphisme",58,173,"https://www.facenordgraphisme.fr/creation-site-internet-hautes-alpes","Création de site internet dans les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"Offer"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"UnitPriceSpecification"|"@type":"WebSite"|"
"/boutique-e-commerce-hautes-alpes",200,"Boutique E-commerce Hautes-Alpes — WooCommerce &amp; Next.js | Face Nord Graphisme",84,182,"https://www.facenordgraphisme.fr/boutique-e-commerce-hautes-alpes","Boutique e-commerce et réservation en ligne dans les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"WebSite"|"
"/referencement-seo-hautes-alpes",200,"Référencement SEO Hautes-Alpes — Expert SEO local Gap, Briançon, Embrun | Face Nord Graphisme",98,163,"https://www.facenordgraphisme.fr/referencement-seo-hautes-alpes","Expert référencement Google dans les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"WebSite"|"
"/refonte-ai-friendly",200,"Refonte Site Internet AI-Friendly — Hautes-Alpes | Face Nord Graphisme",72,185,"https://www.facenordgraphisme.fr/refonte-ai-friendly","Refonte de site internet AI-Friendly dans les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"Offer"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"UnitPriceSpecification"|"@type":"WebSite"|"
"/refonte-ia-friendly",308,"",0,0,"","","","",0,""
"/maintenance-site-internet-hautes-alpes",200,"Maintenance Site Internet Hautes-Alpes — WordPress &amp; Next.js | Face Nord Graphisme",88,191,"https://www.facenordgraphisme.fr/maintenance-site-internet-hautes-alpes","Maintenance de site internet dans les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"Offer"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"UnitPriceSpecification"|"@type":"WebSite"|"
"/referencement-ia",200,"Référencement IA — GEO &amp; AI Overviews | Hautes-Alpes | Face Nord Graphisme",82,185,"https://www.facenordgraphisme.fr/referencement-ia","Référencement IA &amp; GEO pour les Hautes-Alpes","index, follow","",2,""@type":"BreadcrumbList"|"@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"ListItem"|"@type":"LocalBusiness"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"Service"|"@type":"WebSite"|"
"/portfolio",200,"Portfolio | Réalisations Web Hautes-Alpes | Face Nord Graphisme",64,135,"https://www.facenordgraphisme.fr/portfolio","Mon ","index, follow","website",2,""@type":"ContactPoint"|"@type":"GeoCoordinates"|"@type":"ImageObject"|"@type":"OpeningHoursSpecification"|"@type":"Organization"|"@type":"PostalAddress"|"@type":"ProfessionalService"|"@type":"WebSite"|"
